RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y CorneaX CorneaY CorneaZ
2 942.455096 701.219942 936.586112 708.990366 953.467551 703.587018 -10.493489 25.413385 455.729874
2 942.841048 701.454201 936.911461 709.165880 953.767716 703.586935 -10.452443 25.419832 455.604360
2 942.852725 701.365125 936.911461 709.165880 953.767716 703.586935 -10.457455 25.418705 455.595401
2 942.920226 701.356659 936.999419 709.164347 953.876837 703.723470 -10.441821 25.428819 455.596502
2 942.939325 701.394899 936.999419 709.164347 953.876914 703.450340 -10.440673 25.414039 455.561097
2 943.121308 702.092480 937.089067 710.033546 953.967684 704.087485 -10.387029 25.507212 455.324035
2 942.197593 702.913467 936.199228 710.745891 952.966844 705.088986 -10.520092 25.633039 455.291753
2 942.022830 703.014683 936.158985 710.763959 952.966844 705.088986 -10.529960 25.636242 455.239885
2 942.053450 702.863916 936.123623 710.799384 952.966844 705.088986 -10.521316 25.638017 455.312391
2 942.088067 703.098627 936.182086 710.828907 952.966844 705.088986 -10.536971 25.651010 455.356052
2 942.094528 703.228884 936.243676 710.968468 952.966844 705.088986 -10.529213 25.659394 455.326812
2 941.917850 703.142435 936.088049 711.035212 952.966786 705.289232 -10.548970 25.677510 455.448024
2 942.048522 703.161616 936.082337 711.059445 952.875788 705.453059 -10.559435 25.693083 455.420301
2 942.098183 703.281835 936.082342 711.045264 952.906042 705.398592 -10.563691 25.692452 455.426536
2 942.058844 703.114956 936.252657 711.038057 953.216888 705.422725 -10.546760 25.690643 455.446914
2 943.005165 703.253324 936.998702 711.166964 953.876268 705.725914 -10.450344 25.734589 455.608726
2 943.116723 703.347280 937.217092 711.235147 953.967172 705.889690 -10.381430 25.740765 455.637143
2 943.108479 704.016124 937.132810 711.947249 953.967057 706.290185 -10.396621 25.837024 455.815711
2 943.099879 704.073295 937.146182 711.970438 953.967057 706.290185 -10.394638 25.840651 455.824010
2 943.083009 704.185440 937.172411 712.015926 953.967057 706.290185 -10.394121 25.837948 455.801051
2 943.130795 704.110299 937.196266 712.000430 953.967057 706.290185 -10.391798 25.834677 455.783622
2 943.068038 704.066999 937.243975 711.969439 953.967115 706.089938 -10.383939 25.835937 455.880976
2 943.317602 704.023266 937.455241 711.894165 954.300529 706.340154 -10.377796 25.852148 456.049651
2 943.394407 703.874292 937.487186 711.825863 954.276194 706.150447 -10.357439 25.837413 456.110360
2 943.647360 703.833529 937.669753 711.694025 954.603843 706.180773 -10.332051 25.828796 456.083904
2 943.592766 703.713700 937.678919 711.527501 954.767560 706.089715 -10.357725 25.818729 456.125638
2 943.601035 703.471969 937.634030 711.241571 954.544690 705.666389 -10.328499 25.760137 456.176392
3 947.332416 701.237267 936.325142 708.990458 953.078485 703.420325 -10.549553 25.481102 457.083998
3 947.339499 701.306747 936.377753 709.054823 953.167386 703.587102 -10.549019 25.495431 457.065482
3 947.494133 701.482711 936.533423 709.143683 953.331063 703.632611 -10.507578 25.509122 457.105326
3 947.497154 701.443294 936.533423 709.143683 953.309781 703.684314 -10.509488 25.511410 457.112273
3 947.503174 701.364768 936.533423 709.143683 953.267384 703.787316 -10.500243 25.512750 457.094988
3 947.555872 701.468576 936.533423 709.143683 953.421987 703.723596 -10.510075 25.512424 457.089783
3 947.562759 701.523639 936.586034 709.208048 953.467551 703.587018 -10.497035 25.508623 457.094243
3 949.030409 701.453123 938.047471 709.235276 954.843199 703.962093 -10.313343 25.535649 457.045554
3 949.346230 701.647843 938.355396 709.345445 954.968232 704.087210 -10.267980 25.542574 457.029506
3 949.393947 701.827384 938.374566 709.502211 954.968232 704.087210 -10.254655 25.566626 457.057189
3 949.405910 701.821253 938.379982 709.528308 955.101638 704.087174 -10.242283 25.581895 457.115397
3 949.353433 702.317261 938.326084 709.991061 955.079299 704.420985 -10.246232 25.623874 457.016372
3 949.234475 702.286960 938.254322 710.036045 954.968092 704.587818 -10.265631 25.638494 456.905654
3 949.193439 702.319272 938.254322 710.036045 954.968092 704.587818 -10.263018 25.634140 456.900259
3 948.848185 702.763755 937.900453 710.560945 954.967952 705.088429 -10.318534 25.725500 456.968129
3 949.227915 702.807788 938.228914 710.577861 954.967952 705.088429 -10.260107 25.723654 456.873038
3 949.792226 702.564430 938.808275 710.276047 955.968499 705.088157 -10.167886 25.687972 457.047661
3 950.023537 702.560659 939.047755 710.258963 955.968499 705.088157 -10.155212 25.693358 457.023474
3 950.179704 702.629196 939.206941 710.304368 955.968499 705.088157 -10.139008 25.690736 456.985762
3 949.832185 703.048802 938.817042 710.728456 955.768390 705.088211 -10.188066 25.738522 457.088404
4 940.332140 691.517004 929.870521 702.113699 946.840834 696.956118 -11.531282 24.483647 456.884350
4 940.715679 691.533296 930.252004 702.028756 947.077127 696.747411 -11.442458 24.442676 456.976344
4 940.951793 691.593089 930.323736 702.070882 947.077127 696.747411 -11.421300 24.443063 457.034428
4 941.062469 691.552111 930.398702 702.025799 947.077127 696.747411 -11.416140 24.442021 457.022322
4 940.972096 691.621814 930.454214 702.092561 947.077127 696.747411 -11.393704 24.436010 456.968627
4 940.975515 691.488768 930.470530 702.010930 947.077127 696.747411 -11.383216 24.429076 456.940576
4 940.976654 691.444419 930.475968 701.983720 947.077127 696.747411 -11.391882 24.432063 456.961791
4 941.022594 691.376036 930.503916 701.909352 947.245409 696.494502 -11.401043 24.420086 456.955481
4 941.184076 691.428338 930.621089 701.914583 947.166126 696.580595 -11.381325 24.419787 456.899464
4 941.174198 691.444859 930.625794 701.909976 947.266181 696.580565 -11.382215 24.423223 456.907018
4 941.459236 690.500605 930.757630 701.105290 947.703640 695.963945 -11.373302 24.299999 456.803078
4 941.356411 690.660851 930.737336 701.178244 947.841683 695.954688 -11.368248 24.298659 456.764403
4 941.345940 690.654100 930.731947 701.163858 947.807218 695.957000 -11.364141 24.295263 456.759573
4 941.324668 690.640385 930.720999 701.134634 947.737202 695.961695 -11.364076 24.292922 456.771241
4 941.293089 690.620026 930.704746 701.091250 947.633265 695.968664 -11.354374 24.286516 456.765318
4 941.350224 690.636642 930.762884 701.091229 947.702016 695.964054 -11.345234 24.284755 456.730694
4 941.164365 690.786646 930.507763 701.240402 947.299682 695.968761 -11.402929 24.292972 456.498162
4 941.137761 690.752717 930.507763 701.240402 947.299682 695.968761 -11.397891 24.286706 456.482601
4 941.092829 690.772452 930.454506 701.299993 947.091272 695.954906 -11.407082 24.293897 456.549718
4 941.057806 690.785677 930.379972 701.261774 947.091272 695.954906 -11.409359 24.286467 456.549418
4 941.013820 690.661856 930.308642 701.216545 947.091272 695.954906 -11.414546 24.285246 456.559956
4 941.039598 690.776273 930.379972 701.261774 947.091272 695.954906 -11.400869 24.283694 456.528757
4 941.024035 690.786668 930.356319 701.246776 947.049787 695.996414 -11.404123 24.285156 456.542619
4 940.774480 690.680450 930.308642 701.216545 946.966166 696.080084 -11.424481 24.288884 456.490493
4 940.793890 690.674981 930.284503 701.206205 946.966166 696.080084 -11.430232 24.291007 456.504661
