RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y GazeX GazeY GazeZ
3 947.494133 701.482711 936.533423 709.143683 953.331063 703.632611 121.063836 -69.292672 -172.165471
3 947.497154 701.443294 936.533423 709.143683 953.309781 703.684314 120.797397 -70.193135 -171.820342
3 947.562759 701.523639 936.586034 709.208048 953.467551 703.587018 120.727720 -72.408095 -170.998131
3 947.501596 701.468548 936.586034 709.208048 953.452442 703.632306 120.773035 -72.821574 -170.847306
3 947.689416 701.575464 936.792941 709.285376 953.634232 703.976343 125.383643 -64.803343 -174.022694
3 948.639167 701.556905 937.754270 709.283152 954.572727 703.969112 129.269819 -65.439848 -173.964732
3 949.013148 701.623832 938.047471 709.235276 954.843199 703.962093 138.507552 -63.591255 -175.069983
3 949.346230 701.647843 938.355396 709.345445 954.968232 704.087210 134.905520 -64.255076 -174.660091
3 949.292482 701.648683 938.420892 709.410918 954.968232 704.087210 133.368355 -63.641533 -174.816793
3 949.203123 701.729803 938.297560 709.439955 954.968232 704.087210 131.901432 -63.563869 -174.778548
3 949.302944 701.848415 938.378899 709.476875 954.968232 704.087210 130.176552 -65.171447 -174.105371
3 949.188463 702.240117 938.326084 709.991061 955.079299 704.420985 131.493160 -66.963581 -173.502791
3 949.243739 702.265965 938.326084 709.991061 955.079299 704.420985 132.171486 -66.694092 -173.633405
3 949.234475 702.286960 938.254322 710.036045 954.968092 704.587818 129.776439 -67.283920 -173.305972
3 949.193439 702.319272 938.254322 710.036045 954.968092 704.587818 129.767044 -67.291730 -173.302655
3 948.506040 702.696466 937.622627 710.278079 954.634500 704.977285 131.386720 -63.188821 -174.893734
3 948.526050 702.701199 937.650409 710.287015 954.634500 704.977285 131.293654 -63.052463 -174.939907
3 948.566070 702.710665 937.705972 710.304885 954.634500 704.977285 131.287727 -63.057306 -174.937846
3 949.281177 703.037549 938.378437 710.789687 954.967952 705.088429 129.844534 -70.679305 -172.053562
3 949.679256 702.518007 938.793882 710.285985 955.968499 705.088157 127.912963 -65.363971 -173.930850
3 949.792226 702.564430 938.808275 710.276047 955.968499 705.088157 126.406813 -65.393542 -173.851162
3 950.023537 702.560659 939.047755 710.258963 955.968499 705.088157 118.340212 -69.328845 -172.027765
3 950.042114 702.618504 939.134712 710.255329 955.968499 705.088157 131.529041 -62.916160 -175.001053
3 950.179704 702.629196 939.206941 710.304368 955.968499 705.088157 133.895701 -63.122854 -175.032659
4 938.339468 679.787792 928.777839 695.240517 945.616857 689.778558 95.546158 -218.326055 -115.892210
4 938.419447 679.804123 928.812542 695.232874 945.582710 689.688856 98.487498 -219.020688 -115.769622
4 938.141683 679.698416 928.660327 695.259439 945.428943 689.755077 99.688709 -219.634970 -115.597312
4 938.095814 679.671734 928.569120 695.198643 945.351787 689.688923 99.238797 -219.236032 -115.724290
4 938.055384 679.697672 928.546397 695.221478 945.351787 689.688923 99.801541 -219.245729 -115.746393
4 938.031268 679.713979 928.535123 695.204545 945.351787 689.688923 100.778200 -219.260619 -115.785471
4 937.991241 679.725818 928.490386 695.154821 945.351787 689.688923 101.729437 -219.509896 -115.736718
4 937.971849 679.666466 928.409918 695.198700 945.351787 689.688923 101.298866 -218.608527 -116.050364
4 937.914712 679.685302 928.377623 695.129432 945.217100 689.740216 99.779327 -218.882011 -115.879872
4 937.906420 679.647167 928.377623 695.129432 945.217100 689.740216 97.962221 -219.232497 -115.667323
4 937.782692 679.520581 928.303191 695.085007 945.217124 689.656927 98.375618 -219.517551 -115.580789
4 937.699480 679.413902 928.205403 694.880307 945.149007 689.254919 98.466941 -220.022472 -115.398252
4 937.720153 679.340613 928.205403 694.880307 945.088057 689.261041 98.392496 -219.730971 -115.502643
4 937.868818 679.258800 928.266565 694.818013 945.149007 689.254919 98.352232 -219.681367 -115.519147
4 937.824891 679.269325 928.266565 694.818013 945.112342 689.258602 98.352237 -219.681990 -115.518917
4 937.841808 679.244495 928.234549 694.805610 945.149007 689.254919 98.976162 -219.909535 -115.463259
4 937.818380 679.225183 928.238777 694.792930 945.149007 689.254919 99.042168 -220.090118 -115.399497
4 937.772003 679.137011 928.281130 694.665933 944.967104 689.273191 97.172419 -219.880913 -115.391503
4 937.724672 679.155743 928.217410 694.608290 945.167270 689.072921 97.169566 -219.881230 -115.391256
4 937.718502 679.144012 928.231678 694.603527 945.167270 689.072921 97.838590 -219.925797 -115.405316
4 937.833956 679.073131 928.217410 694.608290 944.967104 689.273191 97.322925 -220.101119 -115.316947
4 937.812052 679.079895 928.219561 694.579916 944.967124 689.206279 96.694494 -220.095480 -115.290345
4 937.768415 679.093370 928.223845 694.523390 944.967163 689.072978 96.644975 -220.080869 -115.293488
4 937.801249 679.039808 928.304404 694.502938 944.785212 689.255024 96.742702 -219.960094 -115.342608
4 937.807967 678.990559 928.217471 694.441499 944.767056 689.073036 95.554366 -218.549843 -115.809833
4 937.704290 679.062960 928.223845 694.523390 944.767056 689.073036 95.507730 -218.550537 -115.807448
4 937.718415 679.113004 928.245518 694.543739 944.785212 689.255024 95.453522 -218.538704 -115.809349
4 937.528487 679.089938 928.055387 694.659607 944.785212 689.255024 95.071512 -218.255769 -115.896532
4 937.147432 679.333929 927.597358 694.953615 944.466746 689.573656 100.805855 -220.183468 -115.445489
4 937.168409 679.364913 927.621717 694.907247 944.466746 689.573656 100.936325 -220.158115 -115.460820
4 937.091850 679.421591 927.621717 694.907247 944.466746 689.573656 101.042829 -220.158944 -115.465375
4 937.135585 679.514333 927.522097 694.995492 944.466746 689.573656 101.398495 -220.288446 -115.433724
4 937.121442 679.501861 927.545852 694.948722 944.466746 689.573656 101.892422 -220.361722 -115.429176
